original_air_date,views,imdb_rating,imdb_votes
1990-03-25,50816,7.4,1511
1990-04-29,62561,8.3,1716
1990-10-11,59575,8.2,1638
1990-11-01,64959,8.1,1457
1990-11-15,50691,8,1366
1990-12-06,57605,8.4,1522
1991-01-10,56486,7.8,1340
1991-02-07,58277,8,1329
1991-02-21,47426,8.2,1413
1991-03-28,44331,7.6,1243
1991-04-25,52770,8.5,1684
1991-07-11,52829,8,1223
1991-09-26,52098,7.7,1274
1991-10-10,64342,8.7,1446
1991-10-24,45586,7.7,1262
1991-11-14,55808,7.9,1194
1991-12-05,55987,8.2,1291
1992-01-09,58919,8.5,1365
1992-02-13,53123,8.3,1272
1992-02-27,61508,8.2,1201
1992-03-26,46901,7.9,1233
1992-05-07,48058,7.8,1160
1992-09-24,67081,8.4,1414
1992-11-03,55740,8.2,1293
1992-12-03,62070,8.5,1350
1993-01-21,56396,8,1153
1990-02-18,57793,7.9,1638
1991-01-24,50206,8.8,1687
1993-05-06,68692,7.7,1080
1993-09-30,58390,8.4,1416
1993-10-14,64802,8.6,1476
1993-11-04,53490,8,1132
1993-11-18,83238,8.7,1270
1994-01-06,74673,8.2,1202
1994-02-03,66267,8.1,1123
1994-02-17,61715,8.2,1187
1994-03-31,63427,7.9,1116
1994-05-12,59503,7.5,1014
1994-09-04,65126,8.6,1330
1994-10-02,72722,8.5,1277
1994-11-13,63564,8.4,1236
1994-12-18,61569,7.8,1100
1995-01-22,63051,8.5,1284
1995-02-12,73123,8.5,1254
1995-02-26,60599,7.9,1006
1995-04-09,62323,8.1,1051
1995-04-30,56001,8.3,1084
1995-05-14,70698,8.6,1285
1995-09-24,62390,8.3,1172
1995-10-08,65333,8.7,1354
1995-10-29,110342,8.5,1304
1995-12-17,68970,8.3,1146
1996-01-07,72268,8.3,1064
1996-02-11,71230,7.7,954
1992-11-12,54557,8.2,1240
1996-04-14,66536,8.8,1393
1996-05-05,75618,8,995
1996-05-19,65847,8.3,1119
1996-11-17,55497,7.7,1079
1996-12-15,60912,7.8,1005
1997-01-12,69555,9,1793
1997-01-19,71813,7.8,998
1997-02-09,58581,7.9,1079
1997-02-16,63355,8.9,1666
1997-03-16,83561,8.7,1330
1997-04-13,54155,7.7,913
1997-04-27,59088,8,973
1997-05-18,59196,7.8,967
1997-09-28,48414,7.4,1158
1997-11-09,31033,7.7,925
1997-11-23,22318,8,978
1998-01-04,15780,5.1,1119
1998-02-08,27710,8.2,1042
1998-03-22,20739,7.8,906
1998-04-05,23426,7.9,949
1998-04-26,26299,8.5,1108
1998-05-17,53823,8.1,931
1998-09-20,53216,8.2,988
1998-10-25,83169,8,1013
1998-12-20,56762,8.2,975
1999-01-17,57693,7.7,834
1999-02-28,53449,7.5,795
1999-04-11,47851,7.6,831
1999-05-02,44242,7.2,789
1999-05-16,55947,7.9,964
1999-10-24,46141,7.5,797
1999-11-07,51431,7.6,817
1999-11-21,40465,7.1,747
2000-01-23,43949,7.3,747
2000-02-13,47392,7.9,887
2000-02-27,52891,7.3,755
2000-04-30,52176,6.6,805
2000-05-14,54146,7.3,737
2000-11-01,77719,7.6,829
2000-11-12,40443,7.1,733
2000-12-03,51100,7.7,782
2001-01-14,51024,7.3,760
2001-02-18,49986,7.2,668
